ACCOUNT_NAME,LEAD_ID,GOMINE_ACCOUNT,ACCOUNT_MATCH_TYPE,PARTNER_COUNTRY,ORIGINAL_LV_000,REPORTED_LV_000
powerit tech,8a99832979545a0b017954a79dde0ae3,SENOK TRADE COMBINE LTD,GOMINE,SRI LANKA,27.5,1.596
Capital Alliance,M2218274,,GOMINE,SRI LANKA,200,200
Gayan,M22140504,STATE TRADING ORGANIZATION  MALDIVES,GOMINE,SRI LANKA,17.093,16.018
